id_producto,nombre,descripcion,precio,categoria,stock,marca,fecha_creacion
1,Smartphone X1,'Smartphone gama alta con 128GB almacenamiento',899.99,Electrónica,150,TechMaster,2023-01-15
2,Portátil Pro,'Portátil 15 pulgadas,8GB RAM,512GB SSD',1299.99,Electrónica,75
3,Auriculares BT,Auriculares inalámbricos con cancelación de ruido,199.99,Electrónica,200,SoundWave,2023-03-05
4,Tablet Lite,Tablet 10 pulgadas,64GB almacenamiento,299.99,Electrónica,120,GadgetBox
5,"Monitor 24""",Monitor Full HD 24 pulgadas,179.99,Electrónica,90,ViewPlus,2023-04-12
6,Teclado Mecánico,Teclado mecánico RGB,89.99,Electrónica,110,KeyTech,2023-05-30
7,Ratón Inalámbrico,Ratón ergonómico inalámbrico,49.99,Electrónica,180,ClickMaster,2023-06-15
8,Cargador USB-C,Cargador rápido 30W,29.99,Electrónica,250,PowerUp,2023-07-01
9,Altavoz Bluetooth,Altavoz portátil resistente al agua,79.99,Electrónica,95,SoundWave,2023-08-22
10,Smartwatch V2,Smartwatch con monitor de frecuencia cardíaca,159.99,Electrónica,130,TechMaster,2023-09-10
11,Camiseta Básica,Camiseta de algodón 100%,19.99,Ropa,300,ComfortWear,2023-01-05
12,Pantalón Vaquero,Pantalón vaquero ajustado,39.99,Ropa,150,DenimLife,2023-02-18
13,Zapatillas Running,Zapatillas para running,amortiguación,79.99,Calzado,120,RunFast
14,Chaqueta Impermeable,Chaqueta impermeable y transpirable,89.99,Ropa,80,OutdoorGear,2023-04-30
15,Gorra Deportiva,Gorra ajustable con ventilación,24.99,Accesorios,200,Sporty,2023-05-12
16,Mochila Escolar,Mochila con compartimento para portátil,49.99,Accesorios,90,BagMaster,2023-06-08
17,Reloj Analógico,Reloj de pulsera clásico,59.99,Accesorios,110,TimeStyle,2023-07-19
18,Gafas de Sol,Gafas de sol polarizadas UV400,34.99,Accesorios,75,SunShade,2023-08-05
19,Bolígrafo Estilográfico,Bolígrafo de tinta líquida,14.99,Oficina,180,WriteFine,2023-09-14
20,Cuaderno A5,Cuaderno tapa dura,120 páginas,12.99,Oficina,240,PaperLine
21,Sartén Antiadherente,Sartén 24cm antiadherente,29.99,Hogar,60,KitchenPro,2023-01-25
22,Juego de Sábanas,Juego de sábanas algodón 200 hilos,49.99,Hogar,85,HomeComfort,2023-02-14
23,Robot Aspirador,Aspirador robot con mapeo inteligente,299.99,Hogar,40,CleanTech,2023-03-08
24,Cafetera Programable,Cafetera con temporizador,59.99,Hogar,70,BrewMaster,2023-04-17
25,Batidora de Mano,Batidora 600W con accesorios,39.99,Hogar,110,KitchenPro,2023-05-22
26,Cepillo Dental Eléctrico,Cepillo con 3 modos de limpieza,69.99,Cuidado Personal,90,SmileCare,2023-06-11
27,Crema Hidratante,Crema facial hidratante 50ml,19.99,Cuidado Personal,180,SkinLove,2023-07-07
28,Shampoo Anticaída,Shampoo para cabello frágil,14.99,Cuidado Personal,200,HairHealth,2023-08-28
29,Desodorante Roll-On,Desodorante 48h protección,8.99,Cuidado Personal,300,FreshFeel,2023-09-19
30,Pañales Talla 3,Pañales ultra absorbentes,29.99,Bebé,120,BabySafe,2023-10-09
31,Leche en Polvo,Leche infantil fortificada,24.99,Bebé,80,BabyNutri,2023-01-30
32,Chupete Anatómico,Chupete de silicona,6.99,Bebé,150,BabyComfort,2023-02-22
33,Carrito de Bebé,Carrito plegable y ligero,199.99,Bebé,45,BabyMove,2023-03-15
34,Juguete Educativo,Juguete de bloques para bebés,15.99,Juguetes,100,ToyFun,2023-04-05
35,Peluche Osito,Peluche suave 30cm,12.99,Juguetes,200,CuddlyToy,2023-05-18
36,Puzzle 500 Piezas,Puzzle infantil animales,9.99,Juguetes,75,BrainGame,2023-06-27
37,Bicicleta Infantil,"Bicicleta 12"" con ruedines",129.99,Juguetes,30,KidRide,2023-07-14
38,Set de Pinturas,Set 12 colores no tóxicos,7.99,Juguetes,180,ArtKid,2023-08-23
39,Patines Ajustables,Patines talla 32-35,49.99,Deportes,60,SkatePro,2023-09-02
40,Pelota de Fútbol,Pelota talla 5 oficial,29.99,Deportes,110,SportBall,2023-10-11
41,Raqueta de Tenis,Raqueta profesional 270g,89.99,Deportes,40,RacketPro,2023-01-08
42,Set de Pesca,Set completo caña y accesorios,59.99,Deportes,55,FishMaster,2023-02-17
43,Saco de Boxeo,Saco de boxeo 50kg,119.99,Deportes,25,FightGear,2023-03-24
44,Balón de Baloncesto,Balón talla 7 oficial,34.99,Deportes,90,BasketPro,2023-04-13
45,Cinta Elástica,Cinta resistencia 5m,12.99,Deportes,150,FitBand,2023-05-29
46,Barra de Proteína,Barra proteica chocolate,1.99,Alimentación,500,PowerBar,2023-06-16
47,Agua Mineral,Agua 1.5L pack x6,3.99,Alimentación,300,PureWater,2023-07-21
48,Cereal Integral,Cereal 500g enriquecido,4.99,Alimentación,200,HealthGrain,2023-08-09
49,Aceite de Oliva,Aceite virgen extra 1L,8.99,Alimentación,120,OliveGold,2023-09-17
50,Miel Natural,Miel pura 500g,6.99,Alimentación,90,BeeSweet,2023-10-05
51,Camiseta de Licra,"Camiseta de algodón orgánico de alta calidad, disponible en varias tallas.",19.99,Ropa,50,EcoWear,2025-04-09
